Item,Name,Code,Country,Type,Price
Date,Price,Bought,Sold,Charge,Dividend,Tax,Comment
DEFINE,Australian dollar,AUDEUR,EU,Currency,0.6725,http://
2011/12/30,0.7883,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,0.7875,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,0.6484,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,0.6744,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,0.6725,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,Brazilian Real,BRLEUR,EU,Currency,0.2326,http://
2011/12/30,0.4144,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,0.3691,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,0.3078,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,0.3109,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,0.2326,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,Canadian dollar,CADEUR,EU,Currency,0.6625,http://
2011/12/30,0.7556,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,0.7635,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,0.6845,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,0.7109,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,0.6625,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,Swiss Franc,CHFEUR,EU,Currency,0.9196,http://
2011/12/30,0.8225,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,0.8274,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,0.8147,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,0.8310,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,0.9196,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,Renminbi,CNYEUR,EU,Currency,0.1414,http://
2011/12/30,0.1225,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,0.1216,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,0.1201,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,0.1331,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,0.1414,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,U.S. dollar,USDEUR,EU,Currency,0.9209,http://
2011/12/30,0.7721,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,0.7575,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,0.7270,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,0.8262,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,0.9209,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,British pound,GBPEUR,EU,Currency,1.3571,http://
2011/12/30,1.2004,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,1.2305,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,1.2047,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,1.2881,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,1.3571,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,Hong Kong Dollar,HKDEUR,EU,Currency,0.1188,http://
2011/12/30,0.0994,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,0.0977,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,0.0938,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,0.1065,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,0.1188,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,Indian rupee,INREUR,EU,Currency,0.0139,http://
2011/12/30,0.0146,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,0.0138,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,0.0118,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,0.0131,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,0.0139,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,Japanese Yen,JPYEUR,EU,Currency,0.0077,http://
2011/12/30,0.0100,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,0.0087,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,0.0069,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,0.0069,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,0.0077,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,South Korean won,KRWEUR,EU,Currency,0.0008,http://
2011/12/30,0.0007,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,0.0007,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,0.0007,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,0.0008,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,0.0008,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,Mexican Peso,MXNEUR,EU,Currency,0.0533,http://
2011/12/30,0.0553,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,0.0588,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,0.0557,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,0.0560,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,0.0533,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,New Zealand dollar,NZDEUR,EU,Currency,0.6331,http://
2011/12/30,0.6000,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,0.6264,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,0.6003,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,0.6459,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,0.6331,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,Russian ruble,RUBEUR,EU,Currency,0.0126,http://
2011/12/30,0.0241,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,0.0248,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,0.0221,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,0.0136,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,0.0126,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,Singapore Dollar,SGDEUR,EU,Currency,0.6488,http://
2011/12/30,0.5952,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,0.6204,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,0.5756,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,0.6226,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,0.6488,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,Thai baht,THBEUR,EU,Currency,0.0256,http://
2011/12/30,2.4457,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,0.0248,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,0.0222,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,0.0251,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,0.0256,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,Taiwan dollar,TWDEUR,EU,Currency,0.0280,http://
2011/12/30,0.0255,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,0.0261,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,0.0244,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,0.0261,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,0.0280,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,South African Rand,ZAREUR,EU,Currency,0.0595,http://
2011/12/30,0.0954,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,0.0895,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,0.0693,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,0.0718,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,0.0595,0.0000,0.0000,0.00,0.00,0.00,
